company,folder_name,total_articles,incident_count,raw_incident_risk_score,environmental_articles,environmental_risk,social_articles,social_risk,governance_articles,governance_risk,final_weighted_esg_score,article_age_days_avg,article_age_days_environmental_avg,article_age_days_social_avg,article_age_days_governance_avg,time_weight_avg,time_weight_environmental_avg,time_weight_social_avg,time_weight_governance_avg,severity_avg,severity_environmental_avg,severity_social_avg,severity_governance_avg,environmental_weight,social_weight,governance_weight,environmental_raw_score,social_raw_score,governance_raw_score,raw_score,environmental_weighted_score,social_weighted_score,governance_weighted_score,final_walk_esg_risk,data_coverage_flag,final_walk_esg_score
SBI CARDS  PAYMENT SERVICES,SBI_CARDS__PAYMENT_SERVICES,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
SBI LIFE INSURANCE CO LTD,SBI_LIFE_INSURANCE_CO_LTD,4,3,3.2122,1,0.0,0,0.0,3,3.2122,0.8352,234.0,185.0,0.0,250.33,0.5891,0.6024,0.0,0.5846,1.75,1.0,0.0,2.0,0.44,0.31,0.26,0.0,0.0,3.2122,3.2122,0.0,0.0,0.8352,0.8352,incidents_found,0.8352
SCHAEFFLER INDIA LTD,SCHAEFFLER_INDIA_LTD,5,1,0.3464,4,0.3464,1,0.0,0,0.0,0.1524,406.6,419.0,357.0,0.0,0.3924,0.3964,0.376,0.0,1.1,1.125,1.0,0.0,0.44,0.31,0.26,0.3464,0.0,0.0,0.3464,0.1524,0.0,0.0,0.1524,incidents_found,0.1524
SCHNEIDER ELECTRIC INFRASTRU,SCHNEIDER_ELECTRIC_INFRASTRU,11,2,1.5486,7,1.3116,1,0.0,3,0.237,0.6387,306.82,367.29,38.0,255.33,0.6296,0.6181,0.9011,0.5659,1.0909,1.0714,1.0,1.1667,0.44,0.31,0.26,1.3116,0.0,0.237,1.5486,0.5771,0.0,0.0616,0.6387,incidents_found,0.6387
SHIPPING CORP OF INDIA LTD,SHIPPING_CORP_OF_INDIA_LTD,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
SHREE CEMENT LTD,SHREE_CEMENT_LTD,15,9,10.8812,7,3.251,4,3.3506,4,4.2796,3.5818,234.0,248.14,184.5,258.75,0.5625,0.5136,0.614,0.5965,1.5667,1.4286,1.375,2.0,0.44,0.31,0.26,3.251,3.3506,4.2796,10.8812,1.4304,1.0387,1.1127,3.5818,incidents_found,3.5818
SHRIRAM FINANCE LTD,SHRIRAM_FINANCE_LTD,6,6,11.2113,0,0.0,0,0.0,6,11.2113,2.9149,249.83,0.0,0.0,249.83,0.5044,0.0,0.0,0.5044,3.0,0.0,0.0,3.0,0.44,0.31,0.26,0.0,0.0,11.2113,11.2113,0.0,0.0,2.9149,2.9149,incidents_found,2.9149
SHYAM METALICS  ENERGY LTD,SHYAM_METALICS__ENERGY_LTD,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
SIEMENS ENERGY INDIA LTD,SIEMENS_ENERGY_INDIA_LTD,5,2,3.0829,2,0.0,1,1.7971,2,1.2858,0.8914,327.4,543.0,455.0,48.0,0.5577,0.3732,0.2875,0.8772,1.5,1.0,3.0,1.25,0.44,0.31,0.26,0.0,1.7971,1.2858,3.0829,0.0,0.5571,0.3343,0.8914,incidents_found,0.8914
SIEMENS LTD,SIEMENS_LTD,2,1,0.4642,1,0.4642,1,0.0,0,0.0,0.2043,464.5,282.0,647.0,0.0,0.3158,0.4618,0.1699,0.0,1.25,1.5,1.0,0.0,0.44,0.31,0.26,0.4642,0.0,0.0,0.4642,0.2043,0.0,0.0,0.2043,incidents_found,0.2043
